13-13-01
Given Date,01/01/2020,
Hour,Count,
1,1,
2,1,
Average FootFall Count,1,

13-23-43
Given Date,01/01/2020
Hour,Count
1,1
2,1
Average FootFall Count,1




13-34-39
Given Date,01/01/2020
Hour,Count
1,1
2,1
Average FootFall Count,1




13-45-42
Given Date,01/01/2020
Hour,Count
1,1
2,1
Average FootFall Count,1




14-35-38
Given Date,01/01/2020
Hour,Count
1,1
2,1
Average FootFall Count,1




15-15-38
Given Date,01/01/2020
Hour,Count
1,1
2,1
Average FootFall Count,1




16-35-58
Given Date,11/11/2011
Hour,Count
5,1
Average FootFall Count,1




16-38-27
Given Date,11/11/2011
Hour,Count
5,1
Average FootFall Count,1




16-57-53
Given Date,11/11/2011
Hour,Count
5,1
Average FootFall Count,1

