13-13-10
Hi from fuction3
13-24-37
Hi from fuction3



13-34-49
Given Month,2
Given Year,2020
Day,Count
5,1
Average FootFall Count,1
Peak FootFall Count,1




13-45-52
Given Month,2
Given Year,2020
Day,Count
5,1
Average FootFall Count,1
Peak FootFall Count,1




14-35-48
Given Month,2
Given Year,2020
Day,Count
5,1
Average FootFall Count,1
Peak FootFall Count,1




16-39-10
Given Month,11
Given Year,2020
Day,Count
4,1
Average FootFall Count,1
Peak FootFall Count,1




16-58-07
Given Month,12
Given Year,2020
Day,Count
2,1
Average FootFall Count,1
Peak FootFall Count,1

